"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX10981838","RNA-Seq of gut microbiota","gut metagenome","Illumina MiSeq","Lund University","SRP321288","Probiotics in celiac disease autoimmunity","SRS9056708","","38.08","1","102300","61445432","cel24","AMPLICON","METAGENOMIC","PCR"
"SRX10981837","RNA-Seq of gut microbiota","gut metagenome","Illumina MiSeq","Lund University","SRP321288","Probiotics in celiac disease autoimmunity","SRS9056707","","50.74","1","131392","78959437","cel227","AMPLICON","METAGENOMIC","PCR"
"SRX10981836","RNA-Seq of gut microbiota","gut metagenome","Illumina MiSeq","Lund University","SRP321288","Probiotics in celiac disease autoimmunity","SRS9056706","","45.3","1","115101","69166278","cel226","AMPLICON","METAGENOMIC","PCR"
"SRX10981835","RNA-Seq of gut microbiota","gut metagenome","Illumina MiSeq","Lund University","SRP321288","Probiotics in celiac disease autoimmunity","SRS9056705","","21.85","1","56153","33735182","cel225","AMPLICON","METAGENOMIC","PCR"
"SRX10981834","RNA-Seq of gut microbiota","gut metagenome","Illumina MiSeq","Lund University","SRP321288","Probiotics in celiac disease autoimmunity","SRS9056704","","48.43","1","123744","74366936","cel224","AMPLICON","METAGENOMIC","PCR"
"SRX10981833","RNA-Seq of gut microbiota","gut metagenome","Illumina MiSeq","Lund University","SRP321288","Probiotics in celiac disease autoimmunity","SRS9056703","","46.74","1","121598","73016214","cel223","AMPLICON","METAGENOMIC","PCR"
"SRX10981832","RNA-Seq of gut microbiota","gut metagenome","Illumina MiSeq","Lund University","SRP321288","Probiotics in celiac disease autoimmunity","SRS9056702","","47.57","1","123428","74071371","cel222","AMPLICON","METAGENOMIC","PCR"
"SRX10981831","RNA-Seq of gut microbiota","gut metagenome","Illumina MiSeq","Lund University","SRP321288","Probiotics in celiac disease autoimmunity","SRS9056701","","77.56","1","201605","121047277","cel221","AMPLICON","METAGENOMIC","PCR"
"SRX10981830","RNA-Seq of gut microbiota","gut metagenome","Illumina MiSeq","Lund University","SRP321288","Probiotics in celiac disease autoimmunity","SRS9056700","","47.9","1","130377","78323833","cel23","AMPLICON","METAGENOMIC","PCR"
"SRX10981829","RNA-Seq of gut microbiota","gut metagenome","Illumina MiSeq","Lund University","SRP321288","Probiotics in celiac disease autoimmunity","SRS9056699","","77.63","1","183224","110072576","cel220","AMPLICON","METAGENOMIC","PCR"
